tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,16,159,5,0.289308,0.763024,1.499713,0.931824,0.233962,9.937500,0.506289,2.125000,132911.000000,132911.000000,0.000000,1143,0,198,9,9,21,21,21,5.952381,0.000000,16.476190,3166,161,0.268052,0.921482,2.475975,2.652251
1000,14,50,4,0.440000,0.649600,1.150994,0.830267,0.350000,3.571429,0.520000,1.285714,132911.000000,132911.000000,0.000000,733,2,886,12,12,12,12,12,6.166667,0.000000,13.916667,745,38,0.104619,0.942122,2.327832,2.161760
1500,12,29,5,0.482759,0.634958,1.185624,0.736669,0.482759,2.416667,0.655172,1.250000,132911.000000,132911.000000,0.000000,620,2,2962,28,28,1,1,1,4.000000,0.000000,8.000000,626,0,0.087876,0.954553,2.303161,2.097370
2000,17,59,5,0.864407,0.247055,0.567117,0.352370,0.691525,3.470588,0.669492,1.588235,132911.000000,132911.000000,-0.000000,685,0,3806,48,48,3,3,3,2.333333,0.000000,4.666667,18,2,0.105078,0.980455,2.041086,0.751317
2500,40,111,7,0.855856,0.263290,0.652770,0.335458,0.743887,2.775000,0.783784,1.850000,132911.000000,132911.000000,0.000000,1239,5,6472,100,100,8,8,8,2.625000,0.000000,6.375000,1,0,0.407679,0.993677,1.508778,0.660537
3000,77,275,20,0.480000,0.712833,1.783915,0.595486,0.751818,3.571429,0.785455,2.337662,132911.000000,132911.000000,-0.000000,2328,5,9927,161,161,31,31,31,3.838710,0.000000,7.161290,0,0,0.000000,0.995466,1.238617,1.595760
3500,118,429,34,0.475524,0.749605,2.201976,0.624433,0.740093,3.635593,0.688811,1.949153,132911.000000,132911.000000,0.000000,4637,6,35971,358,358,48,48,48,6.479167,0.000000,12.312500,266,41,0.156022,0.997834,1.186944,1.639343
4000,134,434,38,0.308756,0.847618,2.485105,0.683174,0.736236,3.238806,0.759217,1.970149,132911.000000,132911.000000,-0.000000,5410,15,34468,299,299,47,47,47,5.702128,0.000000,10.319149,869,69,0.109060,0.989070,1.412366,2.044766
4500,137,398,59,0.203518,0.930532,3.264446,0.800593,0.641342,2.905109,0.685930,1.693431,132911.000000,132911.000000,-0.000000,5864,11,39376,259,259,49,47,49,3.714286,0.000000,6.574468,1511,171,0.116402,0.975863,1.473488,2.301660
5000,91,264,50,0.261364,0.906250,3.088460,0.789479,0.622576,2.901099,0.683712,1.714286,132911.000000,132911.000000,0.000000,5320,9,27808,216,216,27,27,27,3.851852,0.000000,5.740741,4482,333,0.114186,0.980475,1.688342,2.436310
5500,83,334,49,0.182635,0.911506,2.939416,0.755281,0.684223,4.024096,0.678144,2.060241,132911.000000,132911.000000,-0.000000,4210,4,18900,129,129,37,37,37,4.729730,0.000000,7.891892,501,42,0.193039,0.993475,1.488957,2.268700
6000,71,276,45,0.202899,0.920710,3.057251,0.803132,0.623510,3.887324,0.719203,2.126761,132911.000000,132911.000000,-0.000000,4000,1,15883,136,136,22,22,22,3.318182,0.000000,6.227273,208,0,0.088466,0.996152,1.463113,2.267813
