tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,17,144,6,0.638889,0.549286,1.134001,0.632898,0.592593,8.470588,0.565972,2.647059,132911.000000,132911.000000,-0.000000,1114,0,391,8,8,23,23,23,4.695652,0.000000,17.173913,3273,263,0.253939,0.930203,2.392288,1.863337
1000,19,91,9,0.274725,0.825263,1.912312,0.870331,0.410256,4.789474,0.670330,2.210526,132911.000000,132911.000000,0.000000,831,0,348,8,8,19,19,19,5.631579,0.000000,11.368421,298,1,0.109254,0.944029,2.208732,2.648047
1500,22,91,7,0.637363,0.562009,1.208802,0.621201,0.609105,4.136364,0.681319,2.227273,132911.000000,132911.000000,0.000000,1051,3,4987,39,39,16,15,16,5.750000,0.000000,11.200000,2526,9,0.076438,0.985647,1.969296,1.668772
2000,13,25,7,0.360000,0.768000,1.644212,0.844958,0.422857,1.923077,0.620000,1.153846,132911.000000,132911.000000,-0.000000,712,0,4436,26,26,5,3,5,3.000000,0.000000,5.666667,912,14,0.082838,0.993337,1.658430,2.041674
2500,12,22,6,0.363636,0.760331,1.567236,0.874691,0.363636,1.833333,0.681818,1.083333,132911.000000,132911.000000,0.000000,492,0,3005,9,9,0,0,0,0.000000,0.000000,0.000000,995,0,0.234585,0.992364,1.901652,2.206215
3000,8,14,7,0.357143,0.765306,1.668174,0.857272,0.367347,1.750000,0.750000,1.125000,132911.000000,132911.000000,-0.000000,480,0,2611,6,6,1,1,1,5.000000,0.000000,6.000000,491,10,0.172251,0.937341,1.816888,2.155781
3500,4,5,3,0.600000,0.560000,0.950271,0.864974,0.266667,1.250000,1.000000,1.250000,132911.000000,132911.000000,-0.000000,234,0,1654,3,3,1,1,1,4.000000,0.000000,4.000000,125,1,0.104402,0.994818,1.399704,1.343834
4000,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,100,0,969,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,1.000000,0.504569,0.000000
4500,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,39,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.503258,0.000000
5000,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,-0.000000,48,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.503258,0.000000
5500,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,52,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.428395,0.000000
6000,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,54,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.105085,0.000000
